,booking_request_id,to_state,ending_stage,country,city,city_ok,capital,portfolio_type,floor_size_cat,price_category,time_booked,time_create_booking,after_creation,times_booked_cat
2225,150922.0,submitted / declined,declined,GB,London,london,1.0,3.0,20_40,50k_100k,1.0,9.60648148148148e-07,less_10s,inf_3
2226,151103.0,submitted,submitted,FR,Paris,paris,1.0,3.0,20_40,50k_100k,1.0,0.9026008564814815,1h_1j,inf_3
2227,179773.0,submitted / matched / declined,declined,FR,Lyon,lyon,0.0,3.0,40_60,50k_100k,6.0,1.2132807291666667,1j_3j,5_7
2228,131053.0,submitted / declined,declined,GB,London,london,1.0,2.0,inf_20,100k_200k,20.0,7.407407407407407e-07,less_10s,15_30
2229,118947.0,submitted,submitted,FR,Paris,paris,1.0,3.0,40_60,10k_50k,1.0,1.0648148148148149e-06,less_10s,inf_3
2230,118968.0,submitted,submitted,FR,Paris,paris,1.0,3.0,80_100,50k_100k,1.0,0.18576292824074075,1h_1j,inf_3
2231,135064.0,submitted / declined,declined,GB,Bath,bath,0.0,6.0,80_100,1_5millions,62.0,1.7708333333333332e-06,less_10s,sup_30
2232,135065.0,submitted / declined,declined,GB,Bath,bath,0.0,6.0,80_100,1_5millions,59.0,2.5694444444444443e-06,less_10s,sup_30
2233,135063.0,submitted / declined,declined,GB,Bath,bath,0.0,6.0,inf_20,200k_500k,59.0,9.375e-07,less_10s,sup_30
2234,142721.0,submitted / submitted / matched / declined,declined,FR,Paris,paris,1.0,3.0,60_80,50k_100k,6.0,1.1226851851851851e-06,less_10s,5_7
2235,135069.0,submitted / declined,declined,GB,London,london,1.0,5.0,80_100,sup_5millions,1219.0,0.04690667824074074,1h_1j,sup_30
2236,112689.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,50k_100k,2.0,0.007583576388888889,10s_1h,inf_3
2237,112684.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,40_60,100k_200k,2.0,1.539351851851852e-06,less_10s,inf_3
